date,humidity,pressure,sunshine,wnd_spd10,wnd_dir10,wnd_spd80,wnd_dir80,hum_max,hum_min,press_max,press_min,wnd_spd_max10,wnd_spd_min10,wnd_spd_max80,wnd_spd_min80,temp_max,temp_avg,temp_min,wnd_spd_max,wnd_spd_min,precipitation_avg,PM10,PM2.5
2018-01-01,68.54,1009.42,-551.55,20.11,239.75,25.91,240.55,82.0,49.0,1014.5,1003.2,31.65,15.22,39.88,19.01,64,52,39,12,0,0.0,23,13.1
2018-01-02,75.96,1016.89,245.91,16.29,255.03,21.12,256.43,86.0,59.0,1019.7,1010.1,28.7,8.07,35.85,12.09,68,55,42,10,0,0.0,35,11.5
2018-01-03,74.83,1008.06,222.5,23.42,255.27,30.61,258.29,80.0,69.0,1014.1,1002.3,35.81,2.69,44.77,5.75,71,56,40,13,0,0.01,45,10.3
2018-01-04,81.62,1004.85,0.0,19.79,255.34,25.92,256.03,87.0,78.0,1009.2,1001.7,26.23,4.84,33.36,8.2,66,61,55,13,0,0.19,28,10.9
2018-01-05,77.54,1003.97,49.79,10.67,246.17,15.13,246.59,97.0,63.0,1006.1,1002.3,19.53,2.46,26.03,2.3,61,57,52,8,0,0.0,10,5.5
2018-01-06,83.67,1005.75,518.23,6.62,111.27,10.38,116.59,96.0,67.0,1009.9,1003.8,10.48,3.3,13.25,6.8,62,59,55,12,0,0.0,13,6.7
2018-01-07,84.33,1013.9,81.7,4.09,228.51,6.53,235.12,96.0,71.0,1018.3,1010.1,7.36,0.45,16.2,0.67,62,56,49,9,0,0.0,20,12.1
2018-01-08,86.5,1017.62,92.55,2.94,177.61,4.23,148.95,96.0,62.0,1020.0,1013.6,7.39,0.22,13.83,0.22,65,61,57,21,0,0.18,15,6.5
2018-01-09,75.08,1013.46,44.04,4.69,165.03,7.22,176.06,96.0,56.0,1015.2,1010.9,8.21,0.5,14.39,1.58,63,58,52,30,0,2.34,8,3.0
2018-01-10,60.38,1013.4,54.26,7.14,182.45,10.15,202.31,77.0,42.0,1015.6,1011.3,12.18,4.24,16.56,6.14,69,59,48,21,0,0.0,27,5.6
2018-01-11,81.88,1014.59,152.41,4.65,226.21,7.04,235.07,95.0,70.0,1019.4,1011.4,8.08,1.43,11.87,2.0,64,54,44,10,0,0.0,35,13.1
2018-01-12,89.79,1023.22,0.0,3.32,269.88,3.85,253.3,96.0,72.0,1025.5,1019.8,5.7,1.12,6.32,0.89,69,56,43,13,0,0.0,54,11.9
2018-01-13,82.75,1022.78,363.91,7.96,111.99,11.77,113.95,95.0,61.0,1025.7,1020.2,14.91,3.47,17.12,4.94,79,60,41,13,0,0.0,103,10.0
2018-01-14,73.58,1020.21,533.16,8.53,113.56,14.88,118.28,92.0,49.0,1021.8,1018.7,13.3,5.38,18.22,10.48,78,62,45,12,0,0.0,122,10.0
2018-01-15,62.25,1015.35,128.87,9.43,175.33,11.11,199.57,75.0,51.0,1021.2,1005.1,29.9,2.69,37.52,1.75,63,53,42,14,0,0.0,73,11.4
2018-01-16,74.25,1002.74,0.0,24.42,253.07,31.04,253.43,79.0,65.0,1005.0,1000.2,28.11,20.87,34.95,26.67,65,55,45,9,0,0.0,95,14.9
2018-01-17,79.75,1006.41,349.41,26.96,271.01,34.0,271.8,85.0,70.0,1015.1,999.4,31.76,21.03,38.78,26.85,71,58,45,13,0,0.0,73,12.6
2018-01-18,76.79,1010.05,164.66,27.02,247.8,33.74,247.99,85.0,68.0,1016.7,1006.2,39.1,22.4,47.04,28.66,70,57,44,9,0,0.0,61,10.9
2018-01-19,78.17,1012.57,0.0,15.63,266.28,19.86,267.02,87.0,63.0,1015.4,1007.5,22.89,10.38,29.15,12.35,64,55,46,16,0,0.0,21,4.8
2018-01-20,76.58,1007.87,0.0,18.94,248.88,24.67,249.82,87.0,60.0,1016.1,996.9,27.89,13.31,35.43,18.83,64,54,44,21,0,0.0,25,4.7
2018-01-21,76.38,1014.53,58.09,7.6,233.51,9.48,238.62,89.0,60.0,1019.5,1005.1,15.21,1.12,19.81,0.71,62,50,38,13,0,0.0,31,7.6
2018-01-22,85.38,1013.3,0.0,14.18,261.36,19.14,264.54,95.0,81.0,1021.7,1009.7,20.39,4.03,26.67,7.83,64,51,38,15,0,0.0,35,5.6
2018-01-23,78.5,1026.65,216.95,7.31,232.96,9.98,241.6,94.0,67.0,1028.7,1022.5,11.19,4.47,16.41,3.36,70,54,38,14,0,0.0,38,6.0
2018-01-24,69.08,1024.36,530.89,5.68,140.51,7.28,157.95,85.0,50.0,1028.7,1020.2,9.44,2.69,16.41,3.67,69,53,37,12,0,0.0,39,7.6
2018-01-25,61.88,1016.8,0.0,3.94,176.91,5.14,189.02,75.0,51.0,1021.3,1013.4,6.95,0.71,11.5,1.0,66,53,39,24,0,0.0,45,6.3
2018-01-26,87.25,1016.57,0.0,5.9,227.28,8.18,228.36,97.0,79.0,1022.1,1013.9,11.46,1.8,16.23,2.77,63,52,40,23,0,0.0,28,8.0
2018-01-27,86.08,1029.11,93.83,2.85,244.17,3.98,268.71,96.0,74.0,1034.6,1022.4,8.11,0.0,11.77,0.22,69,52,35,12,0,0.0,20,7.5
2018-01-28,75.21,1036.88,149.36,5.5,238.45,8.33,258.39,87.0,56.0,1038.2,1035.1,9.02,2.55,10.89,3.91,79,59,38,12,0,0.0,23,7.6
2018-01-29,81.96,1033.55,505.06,6.94,245.64,10.44,262.36,90.0,71.0,1037.2,1031.3,12.7,3.67,14.92,7.22,79,60,41,10,0,0.0,48,7.4
2018-01-30,78.42,1028.42,51.01,4.13,247.13,6.3,268.43,88.0,67.0,1031.5,1026.1,8.57,1.3,11.58,0.81,77,61,45,12,0,0.0,51,7.9
2018-01-31,70.62,1015.76,65.11,8.34,226.48,11.18,242.91,88.0,50.0,1025.9,1005.0,18.17,2.47,23.43,3.36,73,56,39,8,0,0.0,39,7.7
2018-02-01,71.21,1004.46,300.82,13.97,258.54,17.92,258.88,91.0,56.0,1005.5,1003.3,22.91,7.55,29.41,10.96,75,58,40,9,0,0.0,44,10.6
2018-02-02,80.46,1006.55,294.69,8.25,250.61,11.45,260.61,99.0,59.0,1007.8,1004.9,16.93,4.34,17.84,7.41,75,60,44,12,0,0.0,46,13.6
2018-02-03,76.12,1006.44,389.34,7.7,263.84,9.7,275.77,95.0,57.0,1007.3,1005.3,12.97,4.56,14.17,4.89,71,57,42,12,0,0.0,29,10.3
2018-02-04,70.38,1013.13,140.26,5.33,220.52,6.33,228.76,92.0,51.0,1018.4,1008.1,12.05,3.12,15.58,1.12,74,58,42,12,0,0.0,22,10.3
2018-02-05,72.54,1017.55,132.78,4.18,179.8,5.68,205.92,94.0,41.0,1019.1,1015.3,9.91,1.36,15.81,1.2,61,52,42,13,0,0.0,26,15.1
2018-02-06,67.88,1011.34,232.86,6.52,159.47,8.95,169.31,78.0,52.0,1016.5,1007.5,10.52,2.12,15.22,2.61,62,54,46,9,0,0.0,42,30.2
2018-02-07,82.29,1011.07,0.0,8.22,297.75,9.58,299.78,94.0,72.0,1015.4,1008.4,12.82,2.06,15.94,1.79,66,54,42,15,0,0.0,35,16.0
2018-02-08,79.92,1017.38,197.51,4.96,292.79,5.01,280.18,92.0,61.0,1019.0,1015.6,9.27,0.81,12.7,0.5,74,57,40,8,0,0.0,29,8.2
2018-02-09,73.33,1015.26,363.68,4.22,246.87,5.52,267.0,86.0,61.0,1018.0,1012.8,10.38,0.22,11.41,0.0,68,55,41,15,0,0.0,29,12.3
2018-02-10,74.71,1016.79,360.86,10.69,266.02,13.18,270.25,91.0,58.0,1018.5,1014.1,17.73,3.5,21.28,5.07,62,54,46,9,0,0.0,29,16.0
2018-02-11,75.33,1011.63,0.0,8.26,238.63,11.17,244.51,85.0,58.0,1017.6,1008.4,15.9,2.85,19.47,1.34,68,55,41,21,0,0.0,39,12.2
2018-02-12,71.0,1016.95,286.82,10.27,284.67,12.41,291.62,92.0,55.0,1021.1,1010.9,14.79,4.44,16.16,5.61,65,54,43,26,0,0.0,23,6.3
2018-02-13,60.38,1015.54,607.78,6.46,156.11,8.68,160.63,81.0,40.0,1021.5,1010.2,11.91,1.14,14.58,1.58,61,54,47,18,0,0.0,18,6.6
2018-02-14,62.17,1014.85,605.85,5.23,118.22,8.6,125.18,79.0,46.0,1018.3,1011.0,8.75,2.2,14.39,2.0,65,55,44,13,0,0.01,13,6.2
2018-02-15,82.08,1017.51,0.0,8.97,176.91,14.64,193.8,100.0,55.0,1018.4,1016.9,21.12,0.0,30.83,3.86,68,54,40,15,0,0.0,23,7.7
2018-02-16,82.25,1023.63,45.96,9.37,179.22,12.67,167.11,100.0,60.0,1026.9,1017.6,20.74,3.16,30.45,2.85,69,54,38,9,0,0.0,25,7.9
2018-02-17,88.0,1018.94,0.0,9.58,199.04,12.1,202.63,94.0,75.0,1025.1,1013.2,13.47,3.33,17.43,1.75,67,54,40,13,0,0.0,26,10.5
2018-02-18,76.08,1025.99,404.98,7.55,166.8,8.78,169.11,95.0,52.0,1028.4,1023.5,12.66,2.46,17.9,1.58,66,54,41,24,0,0.0,22,8.0
2018-02-19,70.54,1019.93,350.03,3.93,201.45,5.62,209.32,90.0,54.0,1023.4,1016.8,7.52,0.81,10.29,1.14,58,48,38,28,4,0.0,26,4.8
2018-02-20,67.08,1015.91,427.66,4.99,258.7,6.23,267.76,80.0,54.0,1018.2,1014.8,10.68,1.58,14.58,2.55,58,46,33,16,0,0.0,16,4.0
2018-02-21,68.62,1017.4,561.55,8.14,103.96,10.85,99.76,86.0,47.0,1018.7,1016.0,17.82,0.71,19.84,1.0,60,48,35,24,0,0.0,15,5.2
2018-02-22,63.38,1013.98,61.57,13.73,64.12,17.51,68.08,71.0,54.0,1016.5,1012.3,21.15,6.96,24.34,10.86,63,48,33,25,0,0.0,26,5.5
2018-02-23,65.67,1013.12,482.49,12.3,72.28,15.83,76.22,74.0,54.0,1014.1,1011.6,18.26,7.62,21.59,10.32,62,48,33,24,0,0.0,14,3.4
2018-02-24,62.46,1015.63,641.21,12.93,80.45,16.04,81.44,73.0,47.0,1019.6,1013.6,19.28,7.23,22.41,9.56,60,46,31,21,0,0.0,19,6.5
2018-02-25,54.0,1021.45,651.57,15.02,79.78,17.77,80.61,63.0,37.0,1023.8,1019.3,18.39,11.02,20.34,14.24,63,48,33,15,0,0.0,20,7.5
2018-02-26,52.79,1022.85,612.17,13.77,67.95,16.75,70.07,64.0,40.0,1024.4,1021.4,20.06,8.31,22.44,10.97,63,50,36,25,0,0.0,19,6.3
2018-02-27,54.08,1018.12,345.02,10.65,71.49,12.99,73.22,67.0,42.0,1021.1,1015.5,13.91,7.61,15.37,10.14,57,45,33,13,0,0.0,15,5.5
2018-02-28,59.21,1014.79,563.39,12.35,99.35,15.34,99.76,72.0,42.0,1017.3,1010.5,18.57,6.74,23.64,9.46,58,45,31,12,0,0.0,18,6.9
2018-03-01,75.88,1003.54,0.0,12.81,94.35,15.28,94.77,90.0,53.0,1009.6,999.0,19.48,8.3,21.53,10.75,57,48,39,13,0,0.18,17,5.9
2018-03-02,81.71,996.8,0.0,8.04,150.04,11.61,156.99,94.0,70.0,999.2,994.6,14.57,0.67,20.45,1.12,60,55,49,15,0,0.15,9,4.1
2018-03-03,72.12,996.92,20.48,8.66,182.93,11.8,192.59,89.0,54.0,1000.1,993.9,16.2,2.03,24.02,1.79,59,52,44,23,0,0.16,8,3.0
2018-03-04,67.71,998.9,142.11,8.42,180.22,11.53,191.45,95.0,47.0,1002.2,996.0,15.01,1.2,20.91,2.24,63,51,38,15,0,0.0,9,3.1
2018-03-05,70.21,995.71,567.56,4.84,123.75,6.19,116.08,94.0,49.0,1000.3,991.2,10.97,1.12,12.34,0.92,68,52,36,12,0,0.0,13,4.7
2018-03-06,78.0,992.48,0.0,6.98,259.6,9.77,267.39,85.0,72.0,995.3,991.3,12.11,1.58,13.93,1.91,74,56,37,12,0,0.0,17,5.4
2018-03-07,69.17,999.74,379.4,10.28,218.8,13.11,232.2,85.0,53.0,1006.8,995.8,17.26,3.39,20.87,2.24,69,55,41,14,0,0.0,29,7.4
2018-03-08,61.12,1007.73,431.73,9.44,233.36,12.98,239.24,83.0,33.0,1009.5,1005.7,15.25,1.91,18.61,1.8,71,56,41,12,0,0.0,25,6.3
2018-03-09,55.79,1009.98,116.21,6.18,222.63,8.76,240.29,66.0,43.0,1012.1,1008.3,12.11,0.45,15.0,2.92,66,58,50,12,0,0.0,24,7.8
2018-03-10,75.04,1006.53,192.38,7.75,142.2,10.35,157.51,95.0,62.0,1009.8,1003.2,11.55,2.86,18.03,2.24,60,58,55,15,0,0.87,11,5.9
2018-03-11,80.42,998.34,0.0,9.38,140.4,13.94,148.92,94.0,63.0,1003.6,994.9,14.16,4.8,21.42,4.91,65,59,53,13,0,0.01,7,4.5
2018-03-12,69.38,999.11,178.02,11.47,228.21,15.44,239.12,82.0,51.0,1004.9,995.6,19.22,2.21,25.27,2.68,64,59,54,10,0,0.01,14,7.6
2018-03-13,70.88,1008.95,10.85,17.98,251.97,22.91,252.63,84.0,60.0,1013.4,1005.9,23.83,10.96,28.33,15.66,61,58,55,13,0,0.63,6,2.9
2018-03-14,71.29,1010.64,697.29,6.83,170.72,9.93,172.86,90.0,47.0,1015.0,1004.4,10.93,0.81,18.23,0.71,63,54,44,15,0,0.44,8,2.1
2018-03-15,68.21,998.83,0.0,9.98,146.73,14.68,148.44,75.0,58.0,1004.3,995.0,13.73,3.58,20.65,3.81,65,56,46,24,0,0.0,8,2.8
2018-03-16,71.17,1001.84,418.11,6.0,215.89,7.92,220.44,85.0,58.0,1003.7,998.9,11.86,1.12,13.67,1.0,58,49,40,12,0,0.12,10,3.9
2018-03-17,84.96,997.64,18.34,7.32,226.15,9.34,230.31,92.0,69.0,1001.5,994.9,13.18,1.2,16.45,1.92,60,51,42,26,0,0.0,6,1.8
2018-03-23,72.25,1009.53,386.16,5.42,267.49,6.71,273.79,90.0,52.0,1015.8,1003.6,9.2,1.41,12.32,2.46,63,54,45,10,0,0.0,12,3.5
2018-03-24,58.83,1000.59,744.84,5.92,185.82,8.08,195.13,90.0,37.0,1003.0,998.8,10.66,1.63,16.5,1.3,66,54,42,26,0,0.0,10,3.2
2018-03-25,60.71,1006.25,622.34,3.8,261.86,4.92,269.09,75.0,47.0,1010.5,1002.4,6.73,0.45,11.3,1.12,66,57,48,21,0,0.0,8,1.8
2018-03-26,66.58,1014.13,311.94,5.17,296.71,7.14,312.67,94.0,47.0,1017.7,1011.4,9.62,1.34,13.35,2.06,71,58,45,29,5,0.0,9,1.4
2018-03-27,69.04,1015.27,88.59,6.93,238.87,8.96,238.63,91.0,40.0,1019.4,1010.3,13.52,0.22,15.97,0.95,70,56,42,18,0,0.0,18,5.2
2018-03-28,74.29,1008.72,0.0,15.22,264.21,19.55,264.44,87.0,55.0,1012.3,1004.3,20.8,8.72,27.13,9.17,68,56,44,13,0,0.0,27,7.7
2018-03-29,70.12,1009.2,180.46,4.34,217.84,5.92,221.49,86.0,51.0,1011.5,1007.2,8.35,1.12,13.25,1.63,61,56,50,10,0,0.0,18,10.6
2018-03-30,67.71,1001.67,149.23,10.45,162.12,14.38,165.1,86.0,36.0,1008.1,995.4,18.86,4.8,23.3,7.52,60,55,50,12,0,0.0,14,9.2
2018-03-31,68.83,999.76,0.0,5.28,239.01,7.41,252.98,88.0,52.0,1003.7,998.3,9.88,0.71,15.82,1.34,59,55,51,13,0,0.0,11,7.2
2018-04-01,70.33,1011.59,268.63,14.4,256.95,18.4,263.9,85.0,54.0,1016.9,1004.0,20.6,5.15,24.71,6.52,58,56,53,10,0,0.0,13,9.2
2018-04-02,56.21,1010.23,106.29,6.12,156.06,7.67,172.67,89.0,24.0,1017.3,1004.9,10.96,0.22,12.98,0.22,60,54,48,10,0,0.0,15,8.4
2018-04-03,44.42,1006.38,453.61,8.34,171.24,10.55,188.72,66.0,31.0,1008.4,1004.0,13.32,4.53,15.41,5.39,63,55,46,18,0,0.0,25,9.7
2018-04-04,67.29,1007.1,114.4,9.16,184.72,11.42,196.46,85.0,41.0,1009.4,1004.7,21.23,2.72,24.69,2.2,60,57,53,12,0,0.0,25,10.6
2018-04-05,67.29,1017.06,437.04,12.23,256.96,16.21,261.69,80.0,53.0,1023.1,1009.9,19.12,2.25,21.77,3.13,62,58,53,12,0,0.0,25,12.3
2018-04-06,62.12,1019.03,767.48,10.17,110.24,14.84,109.26,86.0,39.0,1023.6,1014.8,15.58,5.46,18.5,8.2,70,60,50,24,0,0.0,23,6.6
2018-04-07,55.25,1013.54,743.62,6.64,104.09,10.77,107.42,73.0,34.0,1016.7,1009.8,9.9,2.12,19.33,1.61,80,69,58,23,0,0.0,19,5.9
2018-04-08,50.5,1007.54,732.12,8.96,110.7,13.77,113.98,71.0,34.0,1011.7,1004.2,13.03,3.98,18.74,10.61,83,69,54,24,0,0.0,35,9.2
2018-04-09,58.25,1004.58,81.7,6.55,177.96,9.17,195.06,70.0,38.0,1007.1,1003.0,9.71,1.0,16.44,0.92,87,67,47,16,0,0.0,48,11.7
2018-04-10,77.04,1004.6,24.89,6.13,224.24,7.38,236.29,87.0,63.0,1006.9,1002.5,15.21,0.92,17.45,1.58,78,65,52,13,0,0.0,46,12.5
2018-04-11,55.67,1003.25,451.06,10.49,107.17,14.55,110.52,82.0,34.0,1007.6,997.5,16.16,4.41,21.33,5.22,75,63,51,26,0,0.0,34,9.0
2018-04-12,55.67,998.99,686.29,4.46,117.07,6.92,117.99,71.0,36.0,1002.0,996.7,7.61,0.81,16.24,1.43,72,62,52,28,7,0.0,19,2.4
2018-04-13,63.08,1008.72,356.43,5.39,224.07,7.12,231.29,91.0,42.0,1016.6,1001.9,8.73,1.75,12.97,0.0,72,61,49,24,0,0.0,41,5.5
2018-04-14,56.71,1017.94,477.2,4.4,132.73,7.06,138.9,76.0,35.0,1020.1,1015.7,7.22,2.11,14.6,1.5,79,62,45,10,0,0.0,33,9.0
2018-04-15,69.38,1014.1,326.81,5.5,304.28,7.21,309.72,90.0,49.0,1018.2,1009.9,8.93,1.41,12.82,0.67,71,60,49,12,0,0.0,36,14.0
2018-04-16,70.88,1015.43,169.03,5.22,305.73,7.36,281.38,88.0,50.0,1020.9,1012.6,8.82,0.22,10.89,2.91,66,57,47,30,0,0.0,28,4.1
2018-04-17,64.42,1024.3,739.89,2.98,108.52,4.2,92.42,89.0,42.0,1027.7,1020.9,6.09,0.0,11.49,0.0,70,56,42,18,0,0.0,12,3.0
2018-04-18,58.17,1027.82,787.07,8.69,108.49,12.18,103.09,85.0,31.0,1029.8,1026.2,16.55,1.58,18.57,0.0,66,54,42,15,0,0.0,26,5.8
